ID,Section,Assignment 1 Submission Link (66602),Assignment 2 Submission Link (66603),Assignment 3  Submission Link (66605),Assignment 3 Excellence Points (66604),Assignment 4 Submission Link (66606),Assignment 5 Submission Link (66607),Quiz: Why Learn to Code? (66593),"Quiz: Turtles, First Method (66600)",Take Week 3 Quiz (66633),"Quiz: Variables, Datatypes (66601)","Quiz: Constants, Literals, Methods (66588)",Test 1 (66597),Test 3 (66594),Test 1 Retake (66595),Test 2 Retake (66596),Test 2 (66590),Test 4 (66591),Test 3 Retake (66587),Test 4 Retake (66589),Test 2 Retake 2 (66599),Test 1 Retake 2 (66592),Test 5 (66598),Variables and Datatypes quiz (85999),Lab 3 Part A Completion (88070),Quiz:  Variable Substitution and Pictures (93923),Quiz:  More Loops (101364),Lab 3 Part A Submission (66613),Lab 3 Parts B-Bonus Submission (66615),Lab 8 Submission (66620),Lab 9 Submission (66621),Lab 11 Submission (66609),Lab 13 Submission (66611),Submit programs 2 and 3 from the textbook (66627),Submit program 4 from the textbook (66624),"Submit programs 5, 6, and 7 from the textbook (66630)","Submit programs 9, 11, 13, and 15 from the textbook (66632)","Submit programs 18, 19, 20, and 22 from the textbook (66625)","Submit programs 23, 25, 27, 28, 29, 31 from the textbook (66626)","Submit programs 33, 34, 35, 36, 37 and 39 from the textbook (66628)","Submit programs 40, 41, 42, 43, 44, 45, and 46 from the textbook (66629)","Submit programs 8, 12, 21, 26, and 30 from the textbook (66631)",Assignments Current Score,Assignments Final Score,Textbook Programs Current Score,Textbook Programs Final Score,Labs Current Score,Labs Final Score,Stamps Current Score,Stamps Final Score,Current Score,Final Score
58077,ITSC-1212-101,80,30,0,,0,,2,,,,,24,22,,14,21,17,,11,,,24,,,,,,,,,,,0,0,3,0,0,0,0,0,0,38.03,27.07,7.69,7.69,,0,,,38.03,16.24
46915,ITSC-1212-101,72,78,93,,95,,2,,,7,4,24,16,,15,20,16,,12,,,30,,,5,,,,,,,,3,1,3,4,4,6,6,7,5,74.01,54.03,100,100,,0,,,74.01,32.42
22966,ITSC-1212-101,83,67,75,,95,,0,5,,7,5,22,26,24,,28,20,,,,,31,,,6,4,,,,,,,3,1,3,4,4,6,6,7,5,78.3,55.03,100,100,,0,,,78.3,33.02
29765,ITSC-1212-101,86,86,86,,87,,2,5,,7,6,27,29,,23,24,27,,,,,38,,,6,6,,,,,,,3,1,3,4,4,6,6,7,5,85.51,60.22,100,100,,0,,,85.51,36.13
3720,ITSC-1212-101,42,80,0,,89,,2,5,,6,6,21,9,,18,20,12,,25,,,26,0,,5,,,,,,,,3,1,0,0,0,0,0,0,0,54.9,40.44,10.26,10.26,,0,,,54.9,24.27
52614,ITIS-1212-101,24,20,61,,0,,2,,,7,5,27,26,,17,20,23,,14,,,30,0,,,5,,,,,,,0,1,3,4,4,6,6,7,5,42.4,31.05,92.31,92.31,,0,,,42.4,18.63
48849,ITIS-1212-101,45,90,90,,95,,2,5,,6,6,23,24,21,,25,18,,22,,,29,,,6,6,,,,,,,3,1,3,4,4,6,6,7,5,76.27,56.69,100,100,,0,,,76.27,34.01
47363,ITIS-1212-101,72,67,87,,90,,2,5,,7,6,22,29,,,27,14,,14,,,31,,,5,5,,,,,,,3,1,3,4,4,6,6,7,5,75.16,53.37,100,100,,0,,,75.16,32.02
55631,ITIS-1212-101,92,80,90,,89,,2,5,,7,6,29,32,,25,28,22,,18,,,37,,,6,6,,,,,,,3,1,3,4,4,6,6,7,5,85.5,63.43,100,100,,0,,,85.5,38.06
48567,ITIS-1212-101,23,68,63,,87,,2,,,7,6,24,29,,17,20,22,,,,,33,,,5,6,,,,,,,0,1,3,4,4,6,6,7,0,65.08,45.52,79.49,79.49,,0,,,65.08,27.31
46384,ITIS-1212-101,66,65,93,,87,,2,,,7,6,27,26,,19,25,19,,,,,39,,,5,5,,,,,,,0,1,3,4,4,6,6,0,5,77.62,54.25,74.36,74.36,,0,,,77.62,32.55
35192,ITSC-1212-101,84,85,86,,89,,2,5,,7,6,22,26,24,,27,19,,18,,,40,,,6,6,,,,,,,3,1,3,4,4,6,6,7,5,82.09,60.99,100,100,,0,,,82.09,36.6
24488,ITSC-1212-101,92,85,88,,89,,2,,,7,6,24,31,25,,29,21,,22,,,36,,,6,6,,,,,,,3,1,3,4,4,0,6,7,0,85.26,62.87,71.79,71.79,,0,,,85.26,37.72
43250,ITSC-1212-101,30,85,48,,0,,2,5,,7,5,27,23,,20,26,23,26,,,,34,,,6,6,,,,,,,3,1,3,4,4,6,6,7,5,55.13,41.22,100,100,,0,,,55.13,24.73
56167,ITIS-1212-101,92,82,89,,93,,2,5,,7,6,24,21,,16,23,16,19,,,,27,,,6,5,,,,,,,3,1,3,4,4,6,6,7,5,78.9,58.9,100,100,,0,,,78.9,35.34
37680,ITIS-1212-101,87,100,95,,93,,1,5,,7,6,21,23,,21,20,19,,14,,,33,,,5,6,,,,,,,3,1,3,4,4,6,6,7,5,82.96,61.44,100,100,,0,,,82.96,36.86
48274,ITIS-1212-101,92,67,90,,93,,2,5,,7,5,,27,18,,22,23,,,,,31,,,,,,,,,,,0,0,3,0,0,0,0,0,0,80.81,53.26,7.69,7.69,,0,,,80.81,31.96
49198,ITSC-1212-101,47,77,0,,0,,,3,,7,6,22,22,,14,17,20,,,,,,,,4,5,,,,,,,3,1,0,4,0,0,0,7,0,41.22,26.96,38.46,38.46,,0,,,41.22,16.18
53129,ITIS-1212-101,0,0,0,,0,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.99,0.66,0,0,,0,,,0.99,0.4
47324,ITIS-1212-101,54,89,93,,93,,2,,,7,6,27,26,,19,21,14,,14,,,29,,,5,6,,,,,,,0,1,3,4,4,6,6,7,5,75.75,55.8,92.31,92.31,,0,,,75.75,33.48
40319,ITIS-1212-101,72,100,95,,98,,2,5,,7,6,29,34,,,32,25,,17,,,40,,,6,6,,,,,,,3,1,3,4,4,6,6,7,5,89.38,63.43,100,100,,0,,,89.38,38.06
46648,ITIS-1212-101,92,85,95,,93,,2,5,,,6,22,27,,,23,24,22,,,,32,,,6,6,,,,,,,3,0,3,4,4,6,6,7,5,84.46,59.67,97.44,97.44,,0,,,84.46,35.8
46227,ITIS-1212-101,85,75,87,,100,,2,5,,7,6,21,29,21,,19,16,,,,,29,,,,6,,,,,,,2,1,3,4,0,6,6,7,5,80.32,56.13,87.18,87.18,,0,,,80.32,33.68
29483,ITSC-1212-101,92,62,88,,93,,2,5,,7,6,29,28,,17,25,20,,16,,,34,,,6,6,,,,,,,3,1,3,4,4,6,6,0,5,79.82,59.23,82.05,82.05,,0,,,79.82,35.54
47378,ITIS-1212-101,60,79,77,,95,,2,5,,,6,25,22,,21,20,18,,15,,,33,,,6,6,,,,,,,3,0,3,4,4,6,6,7,5,73.72,54.14,97.44,97.44,,0,,,73.72,32.49
30790,ITSC-1212-101,50,61,90,,0,,0,0,,7,5,24,24,,,30,21,,,,,37,,,5,6,,,,,,,3,1,3,4,4,6,6,7,5,59.41,39.78,100,100,,0,,,59.41,23.87
41134,ITIS-1212-101,71,85,95,,93,,2,5,,7,6,22,27,24,,25,19,,16,,,35,,,6,5,,,,,,,3,1,3,,4,6,6,7,5,80.75,60,100,89.74,,0,,,80.75,36
37840,ITSC-1212-101,68,86,95,,86,,1,,,7,6,27,32,,,27,23,,15,,,36,,,6,,,,,,,,0,1,3,0,4,6,6,7,5,81.72,56.91,82.05,82.05,,0,,,81.72,34.14
60196,ITIS-1212-101,54,95,90,,76,,1,5,,7,6,27,30,,,33,31,,,,,41,0,,6,6,,,,,,,3,1,3,4,4,6,6,7,0,83.66,56.13,87.18,87.18,,0,,,83.66,33.68
3750,ITIS-1212-101,0,0,0,,0,,2,4,,7,6,,,,,,,,,,,,,,6,,,,,,,,3,1,0,0,0,0,0,0,0,5.42,2.76,10.26,10.26,,0,,,5.42,1.66
54994,ITIS-1212-101,48,90,90,,54,,2,,,6,6,23,24,19,,21,18,30,,,,31,,,6,5,,,,,,,1,1,3,4,4,6,6,7,5,70.4,52.27,94.87,94.87,,0,,,70.4,31.36
46363,ITIS-1212-101,58,62,88,,82,,2,,,,6,26,28,,19,21,17,,13,,,32,,,5,,,,,,,,3,0,3,4,4,6,6,7,5,70.2,50.72,97.44,97.44,,0,,,70.2,30.43
24360,ITSC-1212-101,75,90,88,,32,,2,,,7,6,29,30,,18,29,16,,23,,,31,,,6,6,,,,,,,0,1,3,4,4,6,6,7,5,73.19,53.92,92.31,92.31,,0,,,73.19,32.35
48072,ITIS-1212-101,92,81,88,,83,,0,5,,7,6,28,33,,25,25,22,,14,,,35,,,6,6,,,,,,,2,1,3,4,4,6,6,7,0,83.11,61.44,84.62,84.62,,0,,,83.11,36.86
60805,ITIS-1212-101,60,81,90,,67,,2,5,,7,6,24,14,,11,17,8,,16,,,25,,,6,6,,,,,,,3,1,3,4,4,6,0,7,5,66.22,49.17,84.62,84.62,,0,,,66.22,29.5
30264,ITSC-1212-101,41,75,90,,42,,1,4,,7,6,29,26,,,27,21,,17,,,35,,,6,6,,,,,,,3,1,3,4,4,6,6,7,5,67.5,47.85,100,100,,0,,,67.5,28.71
48841,ITIS-1212-101,60,78,85,,84,,2,5,,6,5,26,23,,23,24,14,,26,,,33,,,5,5,,,,,,,3,1,3,4,4,6,6,7,5,75.04,55.69,100,100,,0,,,75.04,33.41
56134,ITIS-1212-101,100,71,88,,68,,2,5,,7,6,27,28,,27,27,24,34,,,,38,,,6,6,,,,,,,3,1,3,4,4,6,6,7,0,83.51,62.32,87.18,87.18,,0,,,83.51,37.39
