id,sis_id,section,section_id,section_sis_id,submitted,attempt,475978: Can a private method be called by any other method in the same class?,1,475979: What is the key word to jump out of a method?,1,"475980: If there is a statement after a ""return"" will the statement execute?",1,475981: What does the void do in a method definition?,1,475982: Assume you type the following code into the Interactions pane and then actually choose a picture from your computer:System.out.println(new Picture(FileChooser.pickAFile()));How do you tell DrJava to show the picture that you selected?,1,"475983: The following code uses variable substitution:Picture pictureObj = new Picture(FileChooser.pickAFile());pictureObj.show();and is functionally the same as:String filename = FileChooser.pickAFile();Picture pictureObj = new Picture(filename);pictureObj.show();However, the second example is different in that it creates a variable name for the filename. What good is this?",1,n correct,n incorrect,score
44154,821954,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 14:55:37 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,It runs faster when a String is created.,0,5,1,5
44154,821954,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 14:54:37 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,FileChooser.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
46436,813829,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 14:52:59 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
60727,842876,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 14:42:35 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
57703,742892,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 14:39:17 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
57703,742892,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 14:35:29 UTC,1,FALSE,0,void,0,TRUE,0,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,3,3,3
26223,731243,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 14:00:30 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
26223,731243,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 13:57:49 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
36190,700183,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 13:55:03 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
36190,700183,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 13:50:45 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method returns something,0,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
30264,758059,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 13:15:11 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
30264,758059,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 13:14:08 UTC,1,TRUE,1,void,0,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,It runs slower when a String is created.,0,4,2,4
1878,736729,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 13:01:52 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
44003,752297,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 13:00:57 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
44003,752297,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 12:58:56 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
1878,736729,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 12:54:42 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,FileChooser.show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
32372,753073,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 12:28:31 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
