id,sis_id,section,section_id,section_sis_id,submitted,attempt,"411035: In the following code, identify the literal:public static void main (String [] args){Â Â Â  int myNumber = 200;}",1,411036: Constant values can be assigned using the System.in class.,1,"411037: In the following two linesÂ of code:Â Turtle tom = new Turtle(w);Turtle bob = new Turtle(w);Â Are tom and bob the same object?",1,"411038: After executingÂ the following lines of code, what is the value of xCor?Â Turtle tom = new Turtle(w);Turtle bob = new Turtle(w);Â int xCor;Â tom.moveTo(100, 200);Â bob.moveTo(400, 300);Â xCor = tom.getXPos();Â ",1,"411039: What is a constructor?Â ",1,411040: You can tell that Math.abs(-57) is an example of a class method because:,1,n correct,n incorrect,score
50684,132783,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-26 15:00:00 UTC,1,200,1,TRUE,0,No,1,,0,,0,,0,2,4,2
37680,795043,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 14:56:03 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
37680,795043,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 14:52:06 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,-57 is not an object,0,5,1,5
17287,657901,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 14:43:05 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
13451,573642,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 14:32:59 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
45441,814586,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 14:18:29 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
45441,814586,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 14:16:26 UTC,1,200,1,TRUE,0,Yes,0,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,4,2,4
53129,819494,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:57:10 UTC,2,200,1,FALSE,1,No,1,400,0,A special method that is called just once when a new object is created.,1,-57 is not a valid integer,0,4,2,4
53129,819494,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:55:23 UTC,1,myNumber = 200,0,TRUE,0,No,1,300,0,A special type of class for constructing other classes.,0,-57 is not an object,0,1,5,1
43250,818386,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-26 13:50:21 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,-57 is not an object,0,5,1,5
60805,842602,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:50:17 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
43250,818386,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-26 13:49:04 UTC,1,myNumber = 200,0,FALSE,1,Yes,0,100,1,A special method that is called just once when a new object is created.,1,Math casts the abs() method to a Class,0,3,3,3
1878,736729,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:44:24 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
13451,573642,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:42:56 UTC,1,200,1,TRUE,0,No,1,300,0,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,3,3,3
1878,736729,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:39:35 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,Math casts the abs() method to a Class,0,5,1,5
55122,819255,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:29:55 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
55122,819255,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:28:54 UTC,1,200,1,FALSE,1,No,1,100,1,A special type of class for constructing other classes.,0,Math casts the abs() method to a Class,0,4,2,4
60727,842876,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:09:06 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
60727,842876,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:04:03 UTC,1,myNumber = 200,0,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
52614,825521,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 13:03:19 UTC,2,200,1,FALSE,1,No,1,100,1,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
52614,825521,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 12:53:37 UTC,1,200,1,TRUE,0,No,1,100,1,A special type of class for constructing other classes.,0,Math casts the abs() method to a Class,0,3,3,3
42481,811759,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 12:46:21 UTC,2,200,1,FALSE,1,No,1,200,0,A special method that is called just once when a new object is created.,1,-57 is not an object,0,4,2,4
42481,811759,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-26 12:41:22 UTC,1,myNumber = 200,0,FALSE,1,No,1,300,0,A special method that is called just once when a new object is created.,1,-57 is not a valid integer,0,3,3,3
24488,717817,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-26 12:33:22 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
